iter	Passed	Remaining
0	444	444221
1	570	284682
2	680	226261
3	876	218357
4	998	198703
5	1101	182516
6	1258	178549
7	1356	168149
8	1494	164534
9	1622	160591
10	1731	155672
11	1852	152518
12	1969	149553
13	2062	145278
14	2190	143819
15	2309	142035
16	2420	139957
17	2539	138556
18	2645	136573
19	2782	136360
20	2906	135484
21	3007	133695
22	3135	133198
23	3269	132944
24	3406	132870
25	3551	133062
26	3655	131731
27	3797	131838
28	3941	131966
29	4094	132401
30	4224	132047
31	4372	132260
32	4509	132150
33	4655	132267
34	4781	131819
35	4920	131770
36	5052	131503
37	5166	130794
38	5282	130162
39	5396	129522
40	5543	129672
41	5660	129110
42	5851	130222
43	5965	129611
44	6116	129814
45	6247	129570
46	6386	129493
47	6526	129433
48	6671	129490
49	6812	129436
50	6903	128463
51	7051	128546
52	7168	128085
53	7313	128121
54	7463	128235
55	7613	128349
56	7752	128253
57	7883	128032
58	8007	127712
59	8142	127565
60	8269	127293
61	8405	127165
62	8536	126958
63	8684	127013
64	8826	126962
65	8949	126643
66	9092	126619
67	9236	126595
68	9352	126197
69	9471	125832
70	9629	126000
71	9761	125816
72	9916	125930
73	10031	125535
74	10164	125365
75	10306	125300
76	10439	125142
77	10577	125029
78	10726	125048
79	10859	124887
80	10999	124793
81	11135	124661
82	11275	124576
83	11392	124230
84	11542	124249
85	11695	124296
86	11832	124175
87	11949	123839
88	12088	123738
89	12220	123561
90	12368	123549
91	12517	123538
92	12655	123424
93	12800	123379
94	12948	123351
95	13060	122981
96	13174	122646
97	13294	122363
98	13434	122266
99	13570	122137
100	13707	122011
101	13850	121941
102	13980	121755
103	14110	121566
104	14230	121301
105	14385	121324
106	14511	121106
107	14655	121040
108	14776	120786
109	14922	120738
110	15059	120609
111	15181	120370
112	15302	120119
113	15446	120046
114	15586	119945
115	15710	119721
116	15855	119660
117	15980	119446
118	16109	119262
119	16278	119378
120	16440	119428
121	16568	119241
122	16700	119076
123	16833	118921
124	16929	118509
125	17052	118284
126	17149	117886
127	17280	117721
128	17439	117750
129	17587	117699
130	17711	117493
131	17840	117317
132	17969	117141
133	18085	116879
134	18156	116334
135	18291	116204
136	18390	115848
