iter	MAPE	RMSE
0	122.8562573	1300.295535
1	120.1062339	1282.38586
2	117.4452523	1265.350401
3	114.9293271	1249.0424
4	112.4960575	1233.619328
5	110.0456508	1218.680437
6	107.665313	1204.387695
7	105.369918	1190.753185
8	103.4276398	1177.887901
9	101.4464771	1165.532047
10	99.47990593	1153.743689
11	97.49205398	1142.413814
12	95.39880184	1131.600988
13	93.21986199	1121.211982
14	91.49193001	1111.419245
15	88.96414443	1100.907312
16	86.55617505	1084.739583
17	84.21668528	1070.678173
18	81.95843164	1056.050703
19	79.71583273	1041.280255
20	77.54570156	1028.049793
21	75.43273201	1013.897636
22	73.42389888	1001.637139
23	71.48640277	990.2922918
24	69.59739586	977.7436859
25	67.75500527	963.7933806
26	65.93532386	952.0402172
27	64.21047156	940.8697928
28	62.5380098	928.3536803
29	60.88982308	919.4537336
30	59.70348368	908.4490166
31	58.59201429	896.9308924
32	57.06607152	886.1443119
33	55.57170071	878.4177225
34	54.58032473	869.8366128
35	53.19049937	861.6166983
36	51.79087219	853.6709974
37	50.45645872	847.0434539
38	49.49515394	837.9809761
39	48.25545227	831.7794448
40	47.15166664	823.7301616
41	46.34462657	816.914521
42	45.21141579	811.1644452
43	44.34836409	803.9866134
44	43.24639869	796.0573037
45	42.46928313	789.4193304
46	41.42483377	782.1329877
47	40.69607225	775.0851895
48	39.70606484	768.247737
49	38.74726021	761.7015349
50	37.75201256	754.6753503
51	36.97613911	748.242121
52	36.08307792	744.3774036
53	35.23834168	740.7140701
54	34.39290441	737.3091647
55	33.85035046	733.8625408
56	33.04704041	729.2823027
57	32.25511573	724.1007279
58	31.50107686	718.7008022
59	30.73550143	715.7822057
60	30.00219642	711.0354759
61	29.2857155	706.517694
62	28.76101203	701.2835432
63	28.10300785	698.8054281
64	27.51449861	693.8246339
65	26.9313316	690.1503017
66	26.32313965	686.4704539
67	25.76523762	681.9816923
68	25.22645405	677.6918949
69	24.6853092	675.6763283
70	24.17202797	672.5528046
71	23.68027026	668.6428455
72	23.1613143	666.9196673
73	22.6694007	663.241267
74	22.19131176	659.7427705
75	21.68430087	658.0103215
76	21.22145493	655.40576
77	20.77562144	653.6907594
78	20.33552692	650.6013348
79	19.93552324	647.5900897
80	19.51719051	646.4137954
81	19.20151332	643.1990759
82	18.89193817	640.0408114
83	18.52488163	637.1902867
84	18.29347975	634.4855496
85	17.88554306	631.9334566
86	17.54598321	630.9264793
87	17.29055164	627.9197637
88	17.05251099	625.3768664
89	16.82436716	622.9627401
90	16.44897752	620.7164805
91	16.0856007	619.0754622
92	15.77087586	617.0040769
93	15.47107093	615.0496471
94	15.14582753	614.146282
95	14.91878245	611.4020616
96	14.60865723	608.4377004
97	14.35840436	607.6046157
98	14.18184663	605.6469952
99	13.99287298	603.7438022
100	13.76356414	600.8938764
101	13.58186398	599.054631
102	13.1719349	596.5083323
103	12.942786	595.1469575
104	12.70990324	594.5689267
105	12.54846228	592.9459195
106	12.41246618	591.3853596
107	12.21501059	588.8359746
108	11.9822886	587.3326651
109	11.80924505	586.7229366
110	11.55406193	584.2017713
111	11.38180876	583.7109003
112	11.26052683	582.2859427
113	11.14043003	580.900896
114	10.92608401	578.8339835
115	10.81359876	577.5070974
116	10.6384494	575.0884712
117	10.52774599	573.8028086
118	10.42296853	572.5794459
119	10.21978844	570.6353441
120	10.12223356	569.4586246
121	9.979455721	567.5383838
122	9.851880722	566.1514478
123	9.728760811	565.7558868
124	9.628210971	564.6534776
125	9.51610556	563.795228
126	9.40673224	562.5403738
127	9.325029988	561.5213473
128	9.252348751	560.4966379
129	9.172738289	558.5056993
130	9.112032031	557.5408624
131	8.987687302	555.5649767
132	8.891134438	553.9723064
133	8.847785072	553.0448729
134	8.801766526	552.2051519
135	8.722306064	550.6309245
136	8.689911119	550.2691554
137	8.665196956	549.4989436
138	8.644556506	548.7885878
139	8.600346314	546.9328504
140	8.537206247	545.4992223
141	8.528475575	545.1659744
142	8.522825051	544.8493201
143	8.515593466	544.1318337
144	8.495758513	543.4188362
145	8.4970442	542.7678254
146	8.489660878	542.4660432
147	8.469573887	541.2815921
148	8.502450182	540.7176891
149	8.490205159	540.057012
150	8.486550183	539.3493339
151	8.472286349	537.9524745
152	8.472747782	537.3870721
153	8.440073776	537.123507
154	8.448359067	536.4013445
155	8.441003387	535.0977161
156	8.394627041	533.8402012
157	8.393648361	533.2827874
158	8.390802235	532.6528473
159	8.397215412	532.1178142
160	8.395699533	530.9131723
161	8.320138736	530.673678
162	8.322903033	529.6735891
163	8.307776874	528.7891487
164	8.30749059	528.2666383
165	8.325088367	527.635723
166	8.248837885	527.3086156
167	8.187370111	526.2625052
168	8.182255917	525.8661597
169	8.119227546	524.8765463
170	8.126963507	524.3726821
171	8.151074334	523.6875109
172	8.166301553	523.3064544
173	8.106345868	522.3752863
174	8.0974086	521.4709272
175	8.058936508	521.2446663
176	8.081910082	520.7656584
177	8.075620759	519.8972481
178	8.08619042	518.7273758
179	8.092527494	518.2802266
180	8.093795095	518.0012335
181	8.022806952	517.7321298
182	7.973060124	517.5612801
183	7.978128886	517.2548569
184	7.994027979	516.4070777
185	8.011352173	515.8871322
186	8.020868489	515.4492035
187	8.026561439	514.8703147
188	8.032293965	514.6011301
189	8.04041213	514.1362799
190	8.026733391	513.3335991
191	8.043550072	512.162642
192	8.049424008	511.9176377
193	8.03746394	511.1250862
194	8.046467839	510.7563224
195	8.0531603	510.5177239
196	8.059306858	510.0600235
197	8.048045479	509.3333126
198	8.066965143	507.9191556
199	7.997126285	507.5848194
200	7.929920673	507.3938953
201	7.950068288	507.1371658
202	7.952927833	506.8124811
203	7.972651537	505.7200857
204	7.959092125	505.0204881
205	7.966910466	504.774635
206	7.981447124	504.5539555
207	7.955567484	504.0430781
208	7.969557612	503.0575763
209	7.996574593	502.7159672
210	7.979756778	501.7781376
211	7.986152127	501.3660895
212	7.990313552	501.0704672
213	8.00649291	499.8208164
214	8.025159123	499.4153061
215	8.052223773	499.1025378
216	8.057085244	498.8199283
217	8.053869283	498.5811037
218	8.053130643	498.3835024
219	8.070758325	497.4915501
220	8.084888969	496.3013712
221	8.094978348	496.0114752
222	8.058309933	495.8450128
223	8.073457783	495.5462485
224	8.092556028	494.7353288
225	8.095048461	494.4520444
226	8.092865695	494.2439361
227	8.038048665	494.1073241
228	8.04186519	493.8391524
229	8.027984461	493.0832861
230	8.039051619	492.8943406
231	8.046966845	492.6216953
232	8.052024513	492.1966985
233	7.966310719	491.4042241
234	8.002290635	491.0381016
235	8.002310617	490.6367258
236	8.005873765	490.2561361
237	7.949560972	489.5191308
238	7.978319486	489.3791004
239	7.990583626	489.0917717
240	7.925829772	488.3777317
241	7.959871639	488.0518361
242	7.969330373	487.766125
243	7.93957721	487.6067243
244	7.877877725	487.4476659
245	7.89585092	487.2631368
246	7.887746544	486.7534958
247	7.90308655	486.4123147
248	7.917796139	486.1417082
249	7.928014772	485.8651797
250	7.880384969	485.2048994
251	7.902810896	484.9083547
252	7.907602095	483.9542602
253	7.897318923	483.783502
254	7.903397161	483.4430938
255	7.86085202	482.8442706
256	7.806267496	482.2523814
257	7.814835629	481.347189
258	7.842939904	481.059745
259	7.825711749	480.5057619
260	7.843942091	480.3267844
261	7.833881321	479.3071009
262	7.837022399	478.3256939
263	7.80375207	478.1981955
264	7.807360324	478.0256662
265	7.804230195	477.4789512
266	7.814847156	477.1790383
267	7.75904933	476.6702561
268	7.784102892	476.4239135
269	7.750847312	475.6930678
270	7.719171895	475.5665823
271	7.693636447	474.8078451
272	7.699409297	474.0776391
273	7.700322184	473.679917
274	7.69265788	473.0557794
275	7.700370626	472.8097134
276	7.681989627	472.1419878
277	7.636023531	471.6974609
278	7.636808046	471.4115396
279	7.628328022	470.6053488
280	7.630773585	470.3959785
281	7.623883646	469.6399192
282	7.603698908	469.5129156
283	7.606982156	468.7688424
284	7.611479259	468.1960964
285	7.608512945	467.7639224
286	7.591207788	467.1578489
287	7.594658555	466.4989793
288	7.615656449	466.314881
289	7.62336559	466.0377357
290	7.593482135	465.6369138
291	7.556688537	465.2171893
292	7.563109063	464.726043
293	7.552341236	464.2642827
294	7.559027361	463.9852657
295	7.582297001	463.5335604
296	7.555644071	463.1697142
297	7.518117858	462.9132789
298	7.510424442	462.5056484
299	7.532924722	462.3350442
300	7.491454519	461.9192855
301	7.446497179	461.7909436
302	7.443878838	461.2756486
303	7.445462867	460.9087243
304	7.449131377	460.6812799
305	7.457993893	460.3923097
306	7.442248181	460.0167601
307	7.407363067	459.8110914
308	7.377672816	459.5979371
309	7.355192438	459.1072507
310	7.348267723	458.7400997
311	7.35082966	458.2959525
312	7.322998396	457.8598376
313	7.327584835	457.6631778
314	7.331664994	457.4155502
315	7.333710609	457.2730933
316	7.315226589	456.9812197
317	7.329711625	456.8162546
318	7.333699807	456.5392029
319	7.344943326	456.3438639
320	7.356106915	456.2206055
321	7.364437862	456.1145723
322	7.367361454	455.9660214
323	7.376909803	455.8648829
324	7.30137412	455.6134585
325	7.308333624	455.3533558
326	7.294928347	455.0281883
327	7.304845867	454.8827168
328	7.304280018	454.5469953
329	7.306131503	454.3192677
330	7.305970936	453.8920635
331	7.2791855	453.6919133
332	7.283264405	453.4599934
333	7.29586686	453.3193475
334	7.296230941	453.1462201
335	7.29716594	452.958348
336	7.276932864	452.6347583
337	7.31487356	452.5390392
338	7.308704426	452.4199579
339	7.317389847	452.163999
340	7.320916764	452.0167438
341	7.310404734	451.6924345
342	7.31312918	451.5737187
343	7.271259526	451.4718196
344	7.230223605	451.0542278
345	7.234897564	450.9362837
346	7.242822437	450.7262029
347	7.243938826	450.3459904
348	7.246617923	450.1385045
349	7.236198221	449.8269268
350	7.226320812	449.714355
351	7.250693975	449.5717723
352	7.246047737	449.4692972
353	7.219780589	449.3245396
354	7.220996956	449.1960541
355	7.224203181	449.0682481
356	7.189088056	448.847435
357	7.148371327	448.5686565
358	7.185548062	448.4560831
359	7.204858776	448.3318922
360	7.176966186	448.0823136
361	7.175415069	447.8113175
362	7.162085887	447.7156959
363	7.1629297	447.4962881
364	7.138907332	447.388146
365	7.109141319	447.1500241
366	7.099521848	447.04249
367	7.095599417	446.7643312
368	7.095011628	446.6532714
369	7.09196902	446.523176
370	7.106884228	446.4291281
371	7.121490125	446.2874787
372	7.10647307	445.9719601
373	7.146908182	445.8923939
374	7.152396922	445.744217
375	7.145587133	445.4694243
376	7.150016009	445.2961403
377	7.157799939	445.1259102
378	7.127902648	444.856409
379	7.128251621	444.7487404
380	7.122683586	444.6562872
381	7.117084196	444.533341
382	7.1120057	444.4137562
383	7.123856829	444.3285611
384	7.121449049	444.0908597
385	7.118689649	443.7148374
386	7.119705361	443.512155
387	7.097974253	443.1609923
388	7.102155602	443.0201706
389	7.103921389	442.8177975
390	7.106189781	442.6248268
391	7.117334832	442.4642901
392	7.112659178	442.2112902
393	7.115419638	442.0143
394	7.087690139	441.7659519
395	7.087596946	441.672074
396	7.053094029	441.5068861
397	7.063342355	441.4137266
398	7.054820736	441.3103096
399	7.055470791	441.1241028
400	7.060433833	441.0687306
401	7.072510024	440.961416
402	7.064947987	440.6304773
403	7.037453956	440.5287378
404	7.005923928	440.3488073
405	6.989336774	440.2809954
406	6.993182817	440.1889154
407	6.990992728	440.0209377
408	6.991688792	439.7209896
409	7.012309367	439.605602
410	7.013154082	439.518221
411	6.992802081	439.4074739
412	6.98997539	439.3415979
413	6.970116494	439.1401248
414	6.976621159	438.8852165
415	6.978931418	438.7201061
416	6.990693933	438.6175958
417	6.999051723	438.4892663
418	6.991744912	438.1910069
419	6.988403358	438.1044306
420	7.011419531	438.0347371
421	7.048323352	437.9496359
422	7.045200392	437.7246922
423	7.026813438	437.5143617
424	7.03667186	437.4310459
425	7.037636453	437.3311354
426	7.044170705	437.1030884
427	7.041905999	436.8810324
428	7.033896957	436.8042405
429	7.029483673	436.6201933
430	7.018121545	436.5518069
431	7.018876066	436.4684344
432	7.019105187	436.4038624
433	7.021499476	436.3255311
434	7.040486586	436.2221129
435	7.049599196	436.141616
436	7.050804844	436.0816097
437	7.053382949	435.9632533
438	7.058650831	435.8509904
439	7.072933584	435.7848415
440	7.077827597	435.7009637
441	7.080737319	435.5893781
442	7.075984926	435.5018228
443	7.073828167	435.3616576
444	7.055912517	435.2814787
445	7.039769124	435.2104099
446	7.039483579	434.9898434
447	7.036245622	434.8306361
448	7.054546894	434.7401435
449	7.055270053	434.6662192
450	7.055967043	434.6070909
451	7.087604979	434.5325377
452	7.088677467	434.4424867
453	7.106128878	434.3489718
454	7.096134717	434.2760972
455	7.089777042	434.017101
456	7.09115547	433.9653215
457	7.093550788	433.894561
458	7.088857733	433.6806037
459	7.081132404	433.4688199
460	7.082338704	433.3846888
461	7.091669096	433.2306971
462	7.062360418	433.0942805
463	7.050512043	432.9327368
464	7.031234751	432.8720071
465	7.032706802	432.8065375
466	7.022278335	432.7439644
467	7.026493561	432.69646
468	7.028247679	432.6003804
469	7.017089777	432.3082933
470	7.021966963	432.2105211
471	7.022298364	432.1272065
472	7.022295717	432.0783968
473	7.017704831	431.8788893
474	7.01877299	431.7900478
475	7.028197253	431.7198425
476	7.027978492	431.5154849
477	7.030564659	431.3271913
478	7.004939828	431.2013106
479	7.007002154	431.1129872
480	7.001445293	430.9481414
481	7.006757469	430.8429419
482	7.008275431	430.7632257
483	7.001479252	430.7168772
484	6.997236614	430.5393112
485	6.974920561	430.4522505
486	6.985925068	430.3522851
487	6.975293528	430.2968109
488	6.976454501	430.2191713
489	6.979275239	430.1441616
490	6.98092318	430.0738225
491	6.975992198	430.0298693
492	6.976241267	429.9576538
493	6.981678148	429.9014672
494	6.963583802	429.8290505
495	6.960653108	429.7903614
496	6.962432258	429.7309518
497	6.955683839	429.477721
498	6.950000187	429.4197886
499	6.942790132	429.3656391
500	6.943059534	429.1559378
501	6.956685103	429.0287482
502	6.937061876	428.8796876
503	6.937254413	428.8237439
504	6.941243462	428.7519434
505	6.927219694	428.6514635
506	6.922208498	428.5719571
507	6.917254614	428.4783012
508	6.918794594	428.4073139
509	6.895920724	428.281112
510	6.886612961	428.2324712
511	6.889904433	428.1572424
512	6.892543532	428.101534
513	6.89350559	428.0499598
514	6.877952611	427.7690686
515	6.898640075	427.7073031
516	6.893981707	427.6316395
517	6.889539564	427.5875644
518	6.891816804	427.5423888
519	6.868672953	427.3648947
520	6.870595537	427.2959128
521	6.866863199	427.1600931
522	6.875782689	427.1071797
523	6.879791399	427.0388017
524	6.880735271	426.9677375
525	6.893834159	426.9123441
526	6.887694312	426.6856504
527	6.898683552	426.6121253
528	6.900003402	426.5452771
529	6.901784437	426.4763577
530	6.90193301	426.4220045
531	6.886575854	426.3568869
532	6.890103152	426.2678204
533	6.881801087	426.2227778
534	6.876588094	426.1839101
535	6.88588145	426.1340124
536	6.857964657	426.0217687
537	6.857614335	425.9397765
538	6.868708278	425.8988309
539	6.869335598	425.7012902
540	6.871367397	425.6400181
541	6.863812234	425.5985864
542	6.866703304	425.5355995
543	6.862534265	425.466118
544	6.862183624	425.3875944
545	6.853168554	425.3490649
546	6.842406668	425.2276285
547	6.85200835	425.1762675
548	6.84826415	425.1350037
549	6.860056735	425.0823574
550	6.866342607	424.8828588
551	6.872042675	424.8195359
552	6.856128907	424.7499196
553	6.855740718	424.6754339
554	6.836356271	424.5415355
555	6.811327423	424.401114
556	6.812310213	424.3537462
557	6.798981889	424.2638894
558	6.804914139	424.1799414
559	6.803124399	424.1204063
560	6.805336064	424.0646509
561	6.804997422	423.9965621
562	6.801368062	423.8752708
563	6.798413878	423.6749971
564	6.793726777	423.6391402
565	6.785218006	423.6048509
566	6.782381501	423.4163144
567	6.801846517	423.3638259
568	6.800368714	423.3089044
569	6.805832143	423.2185525
570	6.808663909	423.1541023
571	6.80960016	423.0582035
572	6.783123876	422.9433783
573	6.783903611	422.8837325
574	6.789971011	422.689902
575	6.795367032	422.6054733
576	6.800778484	422.5464971
577	6.775514296	422.4383628
578	6.778232737	422.3727419
579	6.762191365	422.1275428
580	6.757753708	421.9714481
581	6.754732317	421.9413826
582	6.766272901	421.8950855
583	6.763171012	421.7831923
584	6.760941868	421.6108192
585	6.753943962	421.5795358
586	6.745433471	421.4405857
587	6.743644522	421.2818124
588	6.723331538	421.1698884
589	6.699857587	420.9521587
590	6.698311363	420.8034837
591	6.691102222	420.6792309
592	6.690251725	420.6446415
593	6.683827108	420.5274837
594	6.686556259	420.4705195
595	6.683443767	420.4101783
596	6.678148463	420.179703
597	6.673987938	419.9989982
598	6.666138257	419.9359199
599	6.659616674	419.8241821
600	6.63695288	419.7322614
601	6.635787928	419.6470407
602	6.623011642	419.5358129
603	6.622464907	419.5032111
604	6.627496171	419.4431188
605	6.627668651	419.3829902
606	6.627217595	419.3524768
607	6.626614047	419.2721253
608	6.613403772	419.1151046
609	6.607615173	419.0603672
610	6.60951715	419.0050841
611	6.597831996	418.9034335
612	6.593201057	418.7343022
613	6.587070595	418.6280332
614	6.589457481	418.489386
615	6.589241969	418.4608706
616	6.588130856	418.4107849
617	6.545962488	418.280432
618	6.526412647	418.194795
619	6.52643614	418.1680567
620	6.521344579	418.111708
621	6.518849154	418.0167013
622	6.513468937	417.9191792
623	6.495776877	417.836885
624	6.493586605	417.7833666
625	6.477056622	417.7010488
626	6.480097817	417.6529365
627	6.473737535	417.4962568
628	6.477236026	417.4203686
629	6.465059755	417.2755409
630	6.469152363	417.1690862
631	6.466706477	417.123469
