iter	Passed	Remaining
0	637	955142
1	1628	1219793
2	2422	1208962
3	3311	1238625
4	4024	1203231
5	4716	1174529
6	5566	1187203
7	6235	1162987
8	6782	1123597
9	7514	1119670
10	8145	1102641
11	8723	1081690
12	9469	1083162
13	10138	1076151
14	10781	1067343
15	11449	1061965
16	12085	1054296
17	12710	1046472
18	13367	1041966
19	14156	1047601
20	15156	1067485
21	15990	1074288
22	16480	1058340
23	17193	1057399
24	17870	1054347
25	18486	1048017
26	19087	1041323
27	19742	1037872
28	20430	1036326
29	21092	1033532
30	21635	1025258
31	22097	1013701
32	22728	1010375
33	23038	993377
34	23212	971590
35	23441	953276
36	23638	934689
37	23875	918581
38	24051	901004
39	24294	886763
40	24529	872904
41	24721	858191
42	24886	843260
43	25068	829553
44	25238	816033
45	25567	808146
46	25789	797283
47	26029	787380
48	26192	775605
49	26382	765078
50	26599	755731
51	26805	746438
52	27027	737900
53	27218	728847
54	27418	720352
55	27598	711638
56	27875	705699
57	28082	698186
58	28283	690796
59	28504	684105
60	28666	676236
61	28859	669359
62	29050	662623
63	29292	657251
64	29524	651799
65	29731	645995
66	29968	640961
67	30226	636531
68	30414	630767
69	30657	626280
70	30906	622049
71	31122	617265
72	31375	613329
73	31596	608863
74	31817	604530
75	32044	600409
76	32306	597045
77	32545	593328
78	32748	589057
79	33014	586007
80	33268	582816
81	33525	579738
82	33749	576188
83	33991	572999
84	34219	569660
85	34429	566080
86	34664	562999
87	34915	560238
88	35143	557167
89	35400	554606
90	35626	551622
91	35883	549172
92	36126	546555
93	36390	544314
94	36607	541410
95	36866	539177
96	37077	536286
97	37241	532786
98	37412	529445
99	37641	526987
100	37809	523720
101	38016	521054
102	38185	517908
103	38392	515347
104	38566	512381
105	38748	509583
106	38937	506914
107	39110	504093
108	39281	501286
109	39444	498429
110	39644	496088
111	39803	493277
112	40000	490980
113	40168	488365
114	40341	485857
115	40561	483936
116	40731	481462
117	40906	479086
118	41082	476768
119	41226	474104
120	41381	471607
121	41516	468931
122	41704	466884
123	41870	464624
124	42048	462531
125	42271	460955
126	42449	458919
127	42631	456953
128	42827	455166
129	43006	453218
130	43226	451735
131	43373	449503
132	43489	446988
133	43694	445422
134	43880	443682
135	44071	442014
136	44266	440402
137	44444	438643
138	44638	437075
139	44839	435587
140	44999	433713
141	45237	432620
142	45458	431377
143	45649	429867
144	45853	428497
145	46012	426720
146	46218	425397
147	46425	424106
148	46607	422596
149	46771	420942
150	46988	419785
151	47202	418613
152	47392	417244
153	47557	415666
154	47759	414429
155	47943	413049
156	48128	411695
157	48337	410562
158	48539	409384
159	48721	408041
160	48887	406589
161	49056	405168
162	49214	403679
163	49396	402399
164	49592	401247
165	49768	399950
166	49981	398956
167	50172	397794
168	50354	396581
169	50534	395358
170	50706	394087
171	50898	392983
172	51079	391806
173	51253	390584
174	51420	389323
175	51600	388173
176	51759	386877
177	51903	385486
178	52121	384649
179	52288	383450
180	52498	382574
181	52673	381445
182	52855	380387
183	53030	379280
184	53210	378227
185	53399	377240
186	53586	376248
187	53779	375312
188	53999	374567
189	54182	373573
190	54366	372595
191	54546	371596
192	54730	370634
193	54909	369651
194	55095	368718
195	55288	367835
196	55469	366887
197	55637	365856
198	55861	365206
199	56043	364283
200	56226	363377
201	56411	362485
202	56609	361689
203	56808	360900
204	56993	360035
205	57165	359090
206	57306	357959
207	57484	357069
208	57640	356046
209	57823	355203
210	58032	354520
211	58203	353612
212	58348	352557
213	58518	351660
214	58708	350884
215	58920	350248
216	59074	349276
217	59262	348506
218	59476	347894
219	59693	347305
220	59870	346488
221	60058	345742
222	60233	344922
223	60425	344207
224	60610	343460
225	60825	342885
226	61009	342135
227	61188	341367
228	61333	340416
229	61525	339729
230	61708	338993
231	62522	341716
232	62923	342161
233	63612	344157
234	64188	345527
235	64941	347822
236	65358	348303
237	66005	349994
238	67501	356148
239	68018	357095
240	68460	357639
241	68893	358132
242	69356	358771
243	70066	360669
244	70621	361756
245	71237	363138
246	71875	364613
247	72455	365781
248	72877	366143
249	73661	368307
250	74344	369945
251	74939	371129
252	75670	372968
253	76342	374500
254	77052	376197
255	77572	376955
256	78133	377900
257	78765	379173
258	79315	380039
259	79887	381003
260	80427	381799
261	81102	383222
262	81677	384162
